direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0. 0.],
"[0.9, 0.1]",0.0,[0. 0.],
"[0.8, 0.2]",0.0,[2.4656 0.7288],3.3831
"[0.7, 0.3]",0.0,[2.04175 1.0346 ],-1.38605
"[0.6, 0.4]",0.0,[0. 0.],1.97347
"[0.5, 0.5]",0.0,[0. 0.],
"[0.4, 0.6]",0.0,[0. 0.],
"[0.3, 0.7]",0.0,[0. 0.],
"[0.2, 0.8]",0.0,[0. 0.],
"[0.1, 0.9]",0.0,[0. 0.],
"[0, 1]",0.0,[0. 0.],
