direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0.10242 0.     ],
"[0.9, 0.1]",0.0,[0.09851 0.01294],-0.30217
"[0.8, 0.2]",0.0,[0.09402 0.02779],-0.30217
"[0.7, 0.3]",0.0,[0.08882 0.04501],-0.30217
"[0.6, 0.4]",0.0,[0.08272 0.0652 ],-0.30217
"[0.5, 0.5]",0.0,[0.07546 0.08922],-0.30217
"[0.4, 0.6]",0.0,[0. 0.],0.84577
"[0.3, 0.7]",0.0,[0. 0.],
"[0.2, 0.8]",0.0,[0. 0.],
"[0.1, 0.9]",0.0,[0. 0.],
"[0, 1]",0.0,[0. 0.],
