direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0.58785 0.     ],
"[0.9, 0.1]",0.0,[0.58785 0.07941],-0.0
"[0.8, 0.2]",0.0,[0.58785 0.17866],-0.0
"[0.7, 0.3]",0.0,[0.58785 0.30628],-0.0
"[0.6, 0.4]",0.0,[0.58785 0.47644],-0.0
"[0.5, 0.5]",0.0,[0.58785 0.71466],-0.0
"[0.4, 0.6]",0.0,[0.28851 0.52612],1.58768
"[0.3, 0.7]",0.0,[0.21997 0.62397],-0.70047
"[0.2, 0.8]",0.0,[0.14911 0.72512],-0.70047
"[0.1, 0.9]",0.0,[0.07583 0.82974],-0.70047
"[0, 1]",0.0,[0.    0.938],-0.70047
