direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[197.55783   0.     ],
"[0.9, 0.1]",0.0,[45.15736  5.70279],-26.72386
"[0.8, 0.2]",0.0,[22.9893   6.53231],-26.72386
"[0.7, 0.3]",0.0,[14.09378  6.86518],-26.72386
"[0.6, 0.4]",0.0,[9.29717 7.04466],-26.72386
"[0.5, 0.5]",0.0,[6.29689 7.15693],-26.72386
"[0.4, 0.6]",0.0,[4.39663 7.4957 ],-5.60942
"[0.3, 0.7]",0.0,[2.8264 7.4957],
"[0.2, 0.8]",0.0,[1.64874 7.4957 ],
"[0.1, 0.9]",0.0,[0.73277 7.4957 ],
"[0, 1]",0.0,[0.     7.4957],
