direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0. 0.],
"[0.9, 0.1]",0.0,[0. 0.],
"[0.8, 0.2]",0.0,[0. 0.],
"[0.7, 0.3]",0.0,[0. 0.],
"[0.6, 0.4]",0.0,[0. 0.],
"[0.5, 0.5]",0.0,[0. 0.],
"[0.4, 0.6]",0.0,[0. 0.],
"[0.3, 0.7]",0.0,[0.07912 0.22444],0.35253
"[0.2, 0.8]",0.0,[0.04615 0.22444],
"[0.1, 0.9]",0.0,[0.02051 0.22444],
"[0, 1]",0.0,[0.      0.22444],
