direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0.66882 0.     ],
"[0.9, 0.1]",0.0,[0.66882 0.09034],-0.0
"[0.8, 0.2]",0.0,[0.66882 0.20327],-0.0
"[0.7, 0.3]",0.0,[0.66882 0.34847],-0.0
"[0.6, 0.4]",0.0,[0.66882 0.54206],-0.0
"[0.5, 0.5]",0.0,[0.66882 0.81309],-0.0
"[0.4, 0.6]",0.0,[0.11859 0.21626],0.92191
"[0.3, 0.7]",0.0,[0.0864  0.24509],-1.11648
"[0.2, 0.8]",0.0,[0.056   0.27232],-1.11648
"[0.1, 0.9]",0.0,[0. 0.],0.20564
"[0, 1]",0.0,[0. 0.],
