direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[7.19506 0.     ],
"[0.9, 0.1]",0.0,[5.36166 0.72425],-2.53146
"[0.8, 0.2]",0.0,[4.06643 1.2359 ],-2.53146
"[0.7, 0.3]",0.0,[3.10274 1.61658],-2.53146
"[0.6, 0.4]",0.0,[2.35774 1.91088],-2.53146
"[0.5, 0.5]",0.0,[1.76457 2.1452 ],-2.53146
"[0.4, 0.6]",0.0,[1.92942 3.51843],0.12005
"[0.3, 0.7]",0.0,[0.8795  2.49483],1.02572
"[0.2, 0.8]",0.0,[0.72353 3.51843],-0.15237
"[0.1, 0.9]",0.0,[0.32157 3.51843],
"[0, 1]",0.0,[0.      3.51843],
