direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0. 0.],
"[0.9, 0.1]",0.0,[0. 0.],
"[0.8, 0.2]",0.0,[0. 0.],
"[0.7, 0.3]",0.0,[2.3546  1.14694],2.05294
"[0.6, 0.4]",0.0,[1.88346 1.42714],-1.68144
"[0.5, 0.5]",0.0,[0. 0.],1.31975
"[0.4, 0.6]",0.0,[1.10771 1.8885 ],0.58655
"[0.3, 0.7]",0.0,[0.78456 2.08069],-1.68144
"[0.2, 0.8]",0.0,[0.49548 2.25261],-1.68144
"[0.1, 0.9]",0.0,[0. 0.],0.21996
"[0, 1]",0.0,[0. 0.],
