direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0. 0.],
"[0.9, 0.1]",0.0,[0. 0.],
"[0.8, 0.2]",0.0,[0. 0.],
"[0.7, 0.3]",0.0,[0. 0.],
"[0.6, 0.4]",0.0,[0. 0.],
"[0.5, 0.5]",0.0,[0. 0.],
"[0.4, 0.6]",0.0,[0.00618 0.01054],0.58655
"[0.3, 0.7]",0.0,[0.00467 0.01238],-0.82513
"[0.2, 0.8]",0.0,[0.01136 0.05165],0.17043
"[0.1, 0.9]",0.0,[0.00158 0.01613],0.27543
"[0, 1]",0.0,[0.      0.06531],-0.03205
