direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[59.42426  0.     ],
"[0.9, 0.1]",0.0,[59.42426  7.80669],-0.0
"[0.8, 0.2]",0.0,[59.42426 17.56505],-0.0
"[0.7, 0.3]",0.0,[2.03411 1.03073],3.47097
"[0.6, 0.4]",0.0,[1.69481 1.33591],-1.11181
"[0.5, 0.5]",0.0,[59.42426 70.2602 ],0.83758
"[0.4, 0.6]",0.0,[1.99544 3.53896],0.86073
"[0.3, 0.7]",0.0,[1.28278 3.53896],
"[0.2, 0.8]",0.0,[0.82263 3.89055],-1.30876
"[0.1, 0.9]",0.0,[0.33257 3.53896],1.39382
"[0, 1]",0.0,[0.      3.89055],-0.9459
