direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[2.63181 0.     ],
"[0.9, 0.1]",0.0,[2.30272 0.2908 ],-1.13163
"[0.8, 0.2]",0.0,[1.99146 0.56586],-1.13163
"[0.7, 0.3]",0.0,[1.6966  0.82642],-1.13163
"[0.6, 0.4]",0.0,[1.41688 1.0736 ],-1.13163
"[0.5, 0.5]",0.0,[1.06283 1.208  ],-2.63432
"[0.4, 0.6]",0.0,[3.03333 5.17145],0.49717
"[0.3, 0.7]",0.0,[1.95    5.17145],
"[0.2, 0.8]",0.0,[0.9972  4.53361],1.49379
"[0.1, 0.9]",0.0,[0.4432  4.53361],
"[0, 1]",0.0,[0.      5.17145],-0.69485
