direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[17.5378  0.    ],
"[0.9, 0.1]",0.0,[1.12792 0.14244],-115.20423
"[0.8, 0.2]",0.0,[0.98986 0.28126],-0.99449
"[0.7, 0.3]",0.0,[17.5378   8.54279],2.00301
"[0.6, 0.4]",0.0,[17.5378  13.28878],-0.0
"[0.5, 0.5]",0.0,[17.5378  19.93317],-0.0
"[0.4, 0.6]",0.0,[0.471 0.803],0.89214
"[0.3, 0.7]",0.0,[0.34903 0.92564],-0.99449
"[0.2, 0.8]",0.0,[0.38733 1.76095],0.04585
"[0.1, 0.9]",0.0,[0.14174 1.44987],0.78951
"[0, 1]",0.0,[0.      2.07801],-0.22565
