direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[0.19783 0.     ],
"[0.9, 0.1]",0.0,[0.19783 0.02599],-0.0
"[0.8, 0.2]",0.0,[0.19783 0.05848],-0.0
"[0.7, 0.3]",0.0,[0.19783 0.10024],-0.0
"[0.6, 0.4]",0.0,[0.19783 0.15594],-0.0
"[0.5, 0.5]",0.0,[0.19783 0.2339 ],-0.0
"[0.4, 0.6]",0.0,[0. 0.],0.84577
"[0.3, 0.7]",0.0,[0. 0.],
"[0.2, 0.8]",0.0,[0. 0.],
"[0.1, 0.9]",0.0,[0. 0.],
"[0, 1]",0.0,[0. 0.],
