direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[59.05015  0.     ],
"[0.9, 0.1]",0.0,[30.85809  4.16828],-6.76348
"[0.8, 0.2]",0.0,[19.32517  5.87345],-6.76348
"[0.7, 0.3]",0.0,[13.05293  6.80082],-6.76348
"[0.6, 0.4]",0.0,[9.1104  7.38374],-6.76348
"[0.5, 0.5]",0.0,[6.40288 7.78405],-6.76348
"[0.4, 0.6]",0.0,[4.70434 8.57866],-2.13758
"[0.3, 0.7]",0.0,[3.02422 8.57866],
"[0.2, 0.8]",0.0,[1.76413 8.57866],
"[0.1, 0.9]",0.0,[0.78406 8.57866],
"[0, 1]",0.0,[0.      8.57866],
