direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[7.03914 0.     ],
"[0.9, 0.1]",0.0,[0.66139 0.08689],-73.40202
"[0.8, 0.2]",0.0,[0.66139 0.1955 ],-0.0
"[0.7, 0.3]",0.0,[0.66139 0.33514],-0.0
"[0.6, 0.4]",0.0,[0.66139 0.52133],-0.0
"[0.5, 0.5]",0.0,[0.66139 0.78199],-0.0
"[0.4, 0.6]",0.0,[0. 0.],0.84577
"[0.3, 0.7]",0.0,[0. 0.],
"[0.2, 0.8]",0.0,[0. 0.],
"[0.1, 0.9]",0.0,[0. 0.],
"[0, 1]",0.0,[0. 0.],
