direction,alpha,DMP,s-MRTS
"[1, 0]",0.0,[1.69512 0.     ],
"[0.9, 0.1]",0.0,[1.37025 0.18509],-1.75522
"[0.8, 0.2]",0.0,[1.10543 0.33597],-1.75522
"[0.7, 0.3]",0.0,[0.88541 0.46132],-1.75522
"[0.6, 0.4]",0.0,[0.69973 0.56711],-1.75522
"[0.5, 0.5]",0.0,[1.17301 1.42604],0.55102
"[0.4, 0.6]",0.0,[0.40353 0.73586],1.1149
"[0.3, 0.7]",0.0,[0.28352 0.80424],-1.75522
"[0.2, 0.8]",0.0,[0.29325 1.42604],0.01566
"[0.1, 0.9]",0.0,[0.13033 1.42604],
"[0, 1]",0.0,[0.      1.42604],
