,insurance_exp,operation_exp,insurance_income,reinsurance_exp,reinsurance_income,underwriting_profit,investment_profit
Bank Taiwan Life 15,2365262.0,1318701.0,31492209.0,81444.0,2436.0,-12133265.0,9629900.0
Taiwan Life 15,2329473.0,3654213.0,53581081.0,2913907.0,0.0,-17133784.0,15747305.0
PCA Life 15,1625483.0,2246202.0,19583936.0,270340.0,0.0,93064.0,-757125.0
Cathay Life 15,32787769.0,25434016.0,521439885.0,992376.0,198735.0,-139303832.0,181740515.0
China Life 15,13595152.0,3902116.0,151987311.0,1052610.0,0.0,-36538046.0,47147757.0
Nan Shan Life 15,19526643.0,21589010.0,427051844.0,3146523.0,0.0,-105228521.0,131174592.0
Shin Kong Life 15,7995854.0,14770047.0,224260173.0,963459.0,38437.0,-70513655.0,70937553.0
Fubon Life 15,26095723.0,17202740.0,443470400.0,1174934.0,3363.0,-81125248.0,129922847.0
Mercuries Life 15,11212179.0,5599833.0,128019599.0,634055.0,0.0,-24583835.0,28128202.0
Chaoyang Life 15,766201.0,298981.0,5551217.0,84858.0,695.0,-1784504.0,1015698.0
Farglory Life 15,4819072.0,1801326.0,41387680.0,1950607.0,2733.0,-9846566.0,13349875.0
Hontai Life 15,696195.0,635454.0,18560617.0,267646.0,3302.0,-8555981.0,7762191.0
Allianz Taiwan Life 15,4500810.0,1907437.0,12327930.0,1128877.0,0.0,-2792242.0,1066040.0
Chunghwa Post 15,376034.0,3233361.0,150854401.0,0.0,0.0,-18261906.0,18258969.0
First-Aviva Life 15,679939.0,517971.0,2136779.0,27564.0,0.0,-296061.0,206644.0
BNP Paribas Cardif TCB 15,1323360.0,651684.0,4324454.0,77437.0,0.0,-586505.0,1433646.0
CTBC Life 15,10632037.0,2468441.0,124091209.0,598768.0,0.0,-13572337.0,15701568.0
Prudential of Taiwan 15,853924.0,1726879.0,13108764.0,399511.0,531580.0,-2259756.0,2948361.0
CIGNA 15,1012898.0,2475654.0,8995026.0,20210.0,0.0,679885.0,215844.0
Yuanta Life 15,4751372.0,1314072.0,30700686.0,406121.0,0.0,-6141448.0,3407505.0
TransGlobe Life 15,5163286.0,4161617.0,76326829.0,899985.0,0.0,-27543109.0,33285278.0
AIA Taiwan 15,937712.0,1645908.0,7079450.0,407447.0,0.0,-1532958.0,1173013.0
Cardif 15,4796456.0,1354137.0,8792462.0,690235.0,0.0,-490021.0,390251.0
ACE Tempest Life 15,822921.0,776828.0,1867404.0,380349.0,0.0,236573.0,39699.0
Zurich 15,2288.0,44563.0,5020.0,0.0,0.0,-37110.0,935.0
