,insurance_exp,operation_exp,insurance_income,reinsurance_exp,reinsurance_income,underwriting_profit,investment_profit
Bank Taiwan Life 16,2963155.0,1162523.0,41233300.0,90911.0,45.0,-12146756.0,8959687.0
Taiwan Life 16,17659354.0,4902167.0,247975152.0,2779457.0,0.0,-39059034.0,43948295.0
PCA Life 16,1765293.0,2211656.0,19988126.0,278716.0,0.0,-6700628.0,7559188.0
Cathay Life 16,37924004.0,30191460.0,607038480.0,1180423.0,200445.0,-164444387.0,190482563.0
China Life 16,11730982.0,4314309.0,183856066.0,1122796.0,0.0,-36275163.0,46951523.0
Nan Shan Life 16,21436786.0,25787186.0,492266014.0,2847689.0,0.0,-122804548.0,151823701.0
Shin Kong Life 16,13287663.0,14887139.0,262296176.0,1117772.0,34065.0,-80371344.0,79629167.0
Fubon Life 16,33474563.0,18693390.0,469658658.0,1254891.0,87.0,-95040084.0,123897507.0
Mercuries Life 16,11918740.0,5949322.0,134737674.0,349089.0,0.0,-27498826.0,30509351.0
Chaoyang Life 16,714323.0,292059.0,4674894.0,86320.0,0.0,-1725171.0,787600.0
Farglory Life 16,7241195.0,2123712.0,60785701.0,1402887.0,58.0,-11962766.0,12301116.0
Hontai Life 16,819562.0,833643.0,19516991.0,258701.0,3720.0,-9231378.0,8204462.0
Allianz Taiwan Life 16,3606543.0,2101577.0,13853598.0,1272119.0,0.0,-1756839.0,1606114.0
Chunghwa Post 16,527968.0,3094190.0,146163722.0,0.0,0.0,-18251783.0,18541909.0
First-Aviva Life 16,575865.0,540009.0,2718678.0,33822.0,0.0,-386678.0,236342.0
BNP Paribas Cardif TCB 16,1135934.0,778569.0,6170047.0,125921.0,0.0,-342484.0,1113774.0
Prudential of Taiwan 16,983037.0,1838631.0,13738530.0,427352.0,604346.0,-2836690.0,3843106.0
CIGNA 16,907999.0,2444075.0,9144841.0,1265903.0,0.0,232434.0,252939.0
Yuanta Life 16,2285606.0,1321689.0,34913530.0,427689.0,0.0,-4956785.0,3933860.0
TransGlobe Life 16,6422524.0,3817531.0,93913972.0,792930.0,0.0,-30706191.0,33067507.0
AIA Taiwan 16,878116.0,1733003.0,7406367.0,487801.0,0.0,-1133270.0,1275062.0
Cardif 16,3558587.0,1227253.0,8642506.0,557453.0,0.0,1131400.0,363897.0
Chubb Tempest Life 16,1018796.0,838348.0,2087473.0,556597.0,0.0,34898.0,15029.0
Zurich 16,560.0,42980.0,2971.0,0.0,0.0,-34947.0,918.0
